ID,nExpediente,EMPRESA,AUTÓNOMO,Nº TRABAJADORES,Tipo actividad,Fecha Entrada,Fecha Salida,Base modelo 190,Base modelo 180,importe neto,aprovisionamientos,otros ingresos explotación,ingresos financiero,gastos financieros,deterioro ingresos financieros,inspección HACIENDA,nº socios,pagos gestoria,ha pagado a la gestoría,solicita aplazamientos pago,certificado electrónico,reuniones anuales,envia documentacion por correo,se realiza la declaracion de la renta
18,2300018,0,1,0.0,fontaneria,2004-04-01,,0,1004,57044,22974.284401942976,,28,8.705996074049729,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
19,2300019,0,1,3.0,fontaneria,2008-08-09,,4506,823,65425,25771.551620689093,,28,9.6346010844012,0.0,1.0,,162.5,Sí,1,1,,no,sí
20,2300020,0,1,2.0,limpieza,2016-08-04,,2468,623,73784,29794.713609302114,,29,10.970164721312614,0.0,0.0,,142.45,Sí,0,1,,sí,sí
21,2300021,0,1,0.0,empresa de telefonia,2012-12-16,,0,569,881342,295546.0155326091,,52,99.19126452172009,0.0,0.0,,72.6,Sí,0,1,,sí,sí
22,2300022,0,1,2.0,fontaneria,2016-07-11,,2460,867,65520,23248.03884125886,,35,8.796873964531938,0.0,1.0,,142.45,No,0,0,,sí,sí
23,2300023,0,1,3.0,restauracion,2021-09-09,,3762,561,61005,21948.66620440157,,29,8.365522989976084,0.0,0.0,,162.5,Sí,0,1,,sí,sí
24,2300024,0,1,0.0,fontaneria,2004-10-17,,0,795,34450,13108.55551821968,,38,5.43088341738288,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
25,2310025,1,0,14.0,construccion,2004-11-06,,19334,815,498936,194336.41820745927,,59,65.59285156283322,0.0,0.0,2.0,460.0,No,0,1,1.0,sí,sí
26,2300026,0,1,3.0,restauracion,2017-05-31,,4875,708,62626,22464.37695761963,,30,8.53672279031017,0.0,0.0,,162.5,Sí,0,1,,sí,sí
27,2310027,1,0,26.0,construccion,2016-08-14,,43524,973,148174,60215.2959767903,,25,21.068844252159053,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
28,2300028,0,1,1.0,ingenieria,2007-11-28,,1157,1005,73479,22885.06617931836,,28,8.676378421510616,0.0,1.0,,121.0,Sí,0,0,,sí,sí
29,2300029,0,1,0.0,restauracion,2004-10-22,,0,783,711674,239987.11532695653,,61,80.74745166221334,0.0,1.0,,72.6,Sí,0,1,,no,sí
30,2300030,0,1,0.0,restauracion,2008-05-26,,0,703,44954,12947.691348553357,,29,5.377481556832303,0.0,0.0,,72.6,No,0,1,,sí,sí
31,2310031,1,0,1.0,construccion,2020-06-25,,1207,789,387591,161806.54866708256,,64,54.79395482574777,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
32,2300032,0,1,0.0,fontaneria,2006-09-09,,0,781,308308,120913.92499530328,,46,41.21888592508944,0.0,1.0,,72.6,Sí,0,1,,sí,sí
33,2300033,0,1,3.0,restauracion,2002-06-09,,3375,1192,67264,19997.194671995,,38,7.717695628182845,0.0,1.0,,162.5,Sí,0,0,,sí,sí
34,2300034,0,1,0.0,restauracion,2007-02-18,,0,1188,51656,16878.66000959278,,40,6.682439899643788,0.0,0.0,,72.6,Sí,0,1,1.0,no,sí
35,2310035,1,0,14.0,construccion,2007-01-20,,23296,918,166184,58962.80526360992,,35,20.653056606315424,0.0,0.0,1.0,460.0,Sí,1,1,1.0,sí,sí
36,2300036,0,1,0.0,restauracion,2006-12-11,,0,1128,411066,132167.2727332157,,48,44.95464453357058,0.0,0.0,,72.6,Sí,0,1,,sí,sí
37,2300037,0,1,3.0,restauracion,2015-05-30,,5052,1052,70466,20893.61828642053,,26,8.015280161463888,0.0,0.0,,162.5,Sí,1,1,,sí,sí
38,2300038,0,1,1.0,restauracion,2001-05-10,,1574,614,72015,26200.55833269672,,34,9.777017861595358,0.0,1.0,,121.0,Sí,0,1,1.0,sí,sí
39,2300039,0,1,0.0,ingenieria,2003-03-02,,0,799,53160,16549.18782391573,,39,6.573065464358947,0.0,0.0,,72.6,Sí,0,1,0.0,no,sí
40,2300040,0,1,1.0,restauracion,2018-02-24,,1451,1131,69664,25678.692960112563,,42,9.603774920605328,0.0,1.0,,121.0,No,0,1,,sí,sí
41,2300041,0,1,0.0,construccion,2009-10-31,,0,538,35836,13500.174105146209,,23,5.560888509327491,0.0,0.0,,72.6,Sí,0,1,,sí,sí
42,2300042,0,1,0.0,restauracion,2001-07-15,,0,647,42024,16556.42771647402,,27,6.57546888168675,0.0,,,72.6,Sí,0,1,,no,sí
43,2300043,0,1,0.0,restauracion,2005-04-27,,0,982,35340,12104.715388745291,,23,5.097639969072055,0.0,0.0,,72.6,Sí,0,1,,sí,sí
44,2310044,1,0,16.0,construccion,2007-06-12,,28800,649,988750,373512.99019621854,,63,125.073855512447,0.0,0.0,5.0,460.0,Sí,0,1,1.0,sí,sí
45,2300045,0,1,0.0,restauracion,2012-08-22,,0,846,1072370,305541.0429864029,,65,102.50930024958804,58.23312056405983,0.0,,72.6,No,0,1,,sí,sí
46,2300046,0,1,0.0,restauracion,2006-03-29,,0,919,43209,15915.28131515226,,41,6.362628379125439,0.0,0.0,,72.6,Sí,0,1,,sí,sí
47,2310047,1,0,10.0,construccion,2013-05-29,,16130,1143,112449,38326.81222255497,,29,13.802553943187142,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,no
48,2310048,1,0,12.0,construccion,2015-04-22,,17604,891,197490,77666.88789166545,,31,26.86222558596902,0.0,,1.0,460.0,Sí,0,1,,sí,sí
49,2300049,0,1,0.0,construccion,2007-05-25,,0,760,259380,108499.83188099688,,61,37.0977962459697,0.0,0.0,,72.6,Sí,0,1,,sí,sí
50,2300050,0,1,1.0,construccion,2017-06-01,,1293,1016,67779,21753.013678820786,,31,8.30057248602542,0.0,0.0,,121.0,Sí,1,1,,sí,sí
51,2300051,0,1,0.0,restauracion,2010-11-27,,0,553,350408,141993.07271900197,,44,48.21650204806378,0.0,1.0,,72.6,Sí,0,1,,sí,sí
52,2300052,0,1,1.0,restauracion,2021-04-03,,1377,893,74731,22033.58766198655,,41,8.393714251243969,0.0,0.0,,121.0,Sí,0,1,,sí,sí
53,2300053,0,1,0.0,informatica,2001-04-05,,0,1173,35146,12066.80496324985,,26,5.085054896461292,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
54,2310054,1,0,10.0,construccion,2004-09-18,,17660,905,292538,110386.15274406783,,61,37.72399562829521,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
55,2310055,1,0,20.0,construccion,2019-03-20,,35200,592,592627,237546.08862657804,,64,79.93710733429843,0.0,0.0,4.0,460.0,Sí,1,1,1.0,sí,no
56,2310056,1,0,25.0,construccion,2009-11-13,,36000,523,126566,39358.20352567669,,43,14.144943517301938,0.0,0.0,1.0,460.0,Sí,1,1,1.0,sí,sí
57,2300057,0,1,0.0,restauracion,2001-03-01,,0,612,32699,11410.926919544108,,38,4.867323950528396,0.0,0.0,,72.6,Sí,0,0,,no,sí
58,2310058,1,0,20.0,construccion,2003-11-14,,32920,889,148437,61842.88375650548,,25,21.60915236319745,0.0,0.0,2.0,460.0,Sí,0,1,,sí,sí
59,2300059,0,1,0.0,restauracion,,,0,502,34338,13158.954857796198,,32,5.447614417887772,0.0,0.0,,72.6,Sí,0,1,,sí,sí
60,2310060,1,0,14.0,construccion,2014-04-23,,16254,756,622841,208751.9961916832,,45,70.37837146366815,0.0,0.0,1.0,460.0,Sí,0,1,,sí,no
61,2310061,1,0,18.0,construccion,2019-09-05,,31806,649,54752,19144.40415743389,,42,7.434595915972789,0.0,0.0,5.0,460.0,Sí,0,1,1.0,sí,sí
62,2310062,1,0,6.0,construccion,2022-08-29,,10110,964,155011,63360.9323639759,,26,22.11309690357139,0.0,0.0,5.0,460.0,Sí,0,1,,sí,sí
63,2300063,0,1,0.0,restauracion,2021-04-10,,0,1090,31107,10829.915933324326,,26,4.674446520278889,0.0,1.0,,72.6,Sí,0,1,,sí,sí
64,2310064,1,0,23.0,construccion,2015-08-05,,38272,1049,123901,35699.8529235182,,38,12.93048582229864,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,no
65,2310065,1,0,4.0,construccion,2001-09-06,,6784,1102,121273,37431.835145729376,,38,13.505449615034149,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
66,2300066,0,1,0.0,construccion,2008-07-07,,0,576,486150,136377.3778849688,,59,46.35226743917805,0.0,0.0,,72.6,Sí,0,0,,sí,sí
67,2300067,0,1,0.0,fontaneria,2007-03-24,,0,835,38498,13367.72232132382,,32,5.516918670027479,0.0,1.0,,72.6,Sí,0,1,,sí,sí
68,2310068,1,0,11.0,construccion,2022-07-03,,16973,646,101535,42266.66097647298,,35,15.110460198405487,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
69,2300069,0,1,1.0,fontaneria,2006-12-25,,1399,990,79738,31284.88877904152,,30,11.464856154311155,0.0,0.0,,121.0,No,0,0,,no,sí
70,2310070,1,0,24.0,construccion,2007-06-25,,42072,1078,126572,36171.80710991878,,33,13.087159814404544,0.0,0.0,1.0,460.0,Sí,0,1,1.0,sí,sí
71,2300071,0,1,0.0,empresa de telefonia,2015-06-28,,0,831,393253,161360.02692223917,,64,54.64572360682321,0.0,0.0,,72.6,Sí,0,1,,sí,sí
72,2300072,0,1,0.0,restauracion,2004-12-27,,0,1021,34621,10233.423783028791,,28,4.476429828956833,0.0,1.0,,72.6,Sí,0,1,,sí,sí
73,2300073,0,1,0.0,empresa de telefonia,2014-08-07,,0,877,35371,10017.76104627224,,31,4.404836562301381,0.0,0.0,,72.6,Sí,0,1,,sí,sí
74,2300074,0,1,0.0,restauracion,2006-04-09,,0,829,38794,12011.533982745612,,37,5.066706663915143,0.0,0.0,,72.6,Sí,1,0,,sí,sí
75,2300075,0,1,3.0,fontaneria,2004-05-18,,4938,522,66994,23449.41224183552,,25,8.863723619607374,0.0,1.0,,162.5,Sí,1,1,,sí,sí
76,2310076,1,0,16.0,construccion,2006-03-22,,24400,1118,146659,42661.1127808812,,41,15.24140582972055,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
77,2310077,1,0,11.0,construccion,2001-05-23,,12507,776,146515,57051.44309818045,,34,20.01854429675865,0.0,0.0,2.0,460.0,Sí,0,1,0.0,sí,sí
78,2310078,1,0,10.0,construccion,2005-07-27,,11060,1117,138433,39100.041940848445,,40,14.05924196560705,0.0,0.0,1.0,460.0,Sí,1,1,0.0,sí,no
79,2310079,1,0,25.0,construccion,2020-12-30,,35350,967,781529,242697.1456637177,,61,81.64709676299456,0.0,0.0,2.0,460.0,Sí,0,1,0.0,sí,sí
80,2310080,1,0,5.0,construccion,2007-01-06,,8485,824,110986,40374.06664942859,,32,14.482178222740687,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
81,2300081,0,1,1.0,construccion,2003-08-06,,1103,866,71501,24130.18909274091,,24,9.089720188846623,0.0,0.0,,121.0,Sí,0,1,,sí,sí
82,2300082,0,1,3.0,restauracion,2014-11-15,,3525,579,960297,330782.1506874708,,45,110.88855658983124,0.0,0.0,,162.5,No,0,1,,sí,sí
83,2310083,1,0,15.0,construccion,2001-05-12,,20505,917,961073,359247.29573388054,,55,120.33809224138976,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
84,2300084,0,1,0.0,restauracion,2006-02-25,,0,833,44489,14696.887255761894,,25,5.958159753264405,0.0,1.0,,72.6,Sí,0,1,,sí,sí
85,2300085,0,1,0.0,restauracion,2013-12-03,,0,549,46118,14466.839094470382,,34,5.881790976707835,0.0,1.0,,72.6,Sí,0,1,,sí,sí
86,2310086,1,0,10.0,construccion,2005-01-27,,13820,638,161198,65857.65680660424,,26,22.94193113555117,0.0,0.0,2.0,460.0,Sí,0,1,0.0,sí,no
87,2300087,0,1,1.0,restauracion,2009-02-06,,1463,869,419045,137583.50810842047,,45,46.752664856031046,0.0,1.0,,121.0,Sí,0,0,,sí,sí
88,2310088,1,0,14.0,construccion,2020-05-12,,16520,1115,167303,58041.24718688268,,39,20.34712821962293,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
89,2300089,0,1,3.0,restauracion,2020-11-23,,3789,1046,1023025,403884.3814649023,,44,135.15620514084137,27.477795823639354,,,162.5,Sí,1,0,,sí,sí
90,2300090,0,1,2.0,educacion,2015-02-22,,3328,800,62589,23069.81922663597,,29,8.737710640423092,0.0,0.0,,142.45,Sí,0,1,,sí,sí
91,2300091,0,1,2.0,construccion,2004-02-12,,3384,1118,54699,20066.851236162795,,26,7.740819423455819,0.0,1.0,,142.45,Sí,0,1,,sí,sí
92,2300092,0,1,3.0,restauracion,2006-04-05,,4482,757,420683,155414.8045796013,,47,52.67209619717526,0.0,0.0,,162.5,Sí,0,0,1.0,sí,sí
93,2310093,1,0,10.0,construccion,2012-09-16,,12880,756,118164,46491.87625265821,,27,16.5130991915575,0.0,0.0,2.0,460.0,Sí,0,1,1.0,sí,no
94,2300094,0,1,0.0,fontaneria,2008-10-03,,0,639,41795,14779.561806426893,,28,5.985605111884983,0.0,0.0,,72.6,Sí,0,1,,sí,sí
95,2310095,1,0,11.0,construccion,2004-07-13,,19129,978,102240,29712.950288521777,,25,10.943021862442794,0.0,0.0,1.0,460.0,Sí,0,1,,sí,no
96,2310096,1,0,12.0,construccion,2011-10-15,,15048,1006,153042,57110.96249810958,,24,20.038302871347778,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
97,2300097,0,1,1.0,restauracion,2014-04-17,,1663,1094,70810,21462.46501469672,,30,8.204119439477555,0.0,0.0,,121.0,Sí,0,1,,no,sí
98,2310098,1,0,10.0,construccion,2017-11-18,,14350,976,152921,60559.61493308658,,23,21.18314734977982,0.0,1.0,1.0,460.0,No,0,1,1.0,sí,sí
99,2300099,0,1,0.0,fontaneria,2010-12-19,,0,1074,1060747,320256.4571303299,,48,107.39435635430044,27.34260308414101,1.0,,72.6,Sí,0,1,,sí,sí
100,2310100,1,0,11.0,construccion,2003-12-05,,13552,1189,405035,167645.1045261096,,44,56.73217230728668,0.0,0.0,2.0,460.0,Sí,1,1,0.0,sí,sí
101,2300101,0,1,0.0,restauracion,2017-08-23,,0,691,714232,271014.79316148587,,57,91.0476678530821,0.0,1.0,,72.6,Sí,0,1,,sí,sí
102,2310102,1,0,24.0,construccion,2005-10-23,,28872,1115,124834,39556.65540277619,,41,14.210823318185192,0.0,0.0,2.0,460.0,Sí,1,1,,sí,sí
103,2300103,0,1,2.0,fontaneria,2018-02-11,,2682,1149,768774,237585.22660552783,,53,79.950099916167,0.0,0.0,,142.45,Sí,0,0,,sí,sí
104,2300104,0,1,2.0,peluqueria,2011-10-27,,3074,524,62859,25329.407632516934,,43,9.48782314343012,0.0,1.0,,142.45,Sí,0,1,,sí,sí
105,2310105,1,0,14.0,construccion,2021-09-26,,20482,568,273421,85384.93176466477,,49,29.42437415817168,0.0,,1.0,460.0,Sí,0,1,1.0,sí,sí
106,2300106,0,1,0.0,restauracion,2007-08-14,,0,607,382547,129171.04023424703,,45,43.95998928859638,0.0,0.0,,72.6,Sí,0,0,1.0,sí,sí
107,2300107,0,1,0.0,restauracion,2010-03-28,,0,1066,32893,11329.815029520005,,29,4.840397346244512,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
108,2300108,0,1,2.0,restauracion,2002-08-15,,2896,969,61822,18386.574078301845,,30,7.183020090910027,0.0,0.0,,142.45,Sí,0,1,,no,sí
109,2310109,1,0,4.0,construccion,2002-01-11,,4572,657,992167,379964.9057604169,,64,127.21568918465684,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
110,2300110,0,1,2.0,peluqueria,2011-11-04,,2212,706,394318,116352.9900435028,,51,39.7047985258786,0.0,0.0,,142.45,Sí,0,1,,no,sí
111,2300111,0,1,0.0,restauracion,2011-09-27,,0,756,40632,16236.90617719796,,25,6.46939774901178,0.0,1.0,,72.6,Sí,0,1,,sí,sí
112,2300112,0,1,2.0,fontaneria,2020-08-18,,2490,1027,69748,24721.96068733613,,43,9.286169803685755,0.0,0.0,,142.45,Sí,1,1,,sí,sí
113,2300113,0,1,2.0,restauracion,2002-12-04,,3048,917,65290,23918.07137463183,,34,9.01930375723066,0.0,0.0,,142.45,Sí,0,1,1.0,sí,sí
114,2310114,1,0,2.0,construccion,2019-03-25,,3474,1172,892971,353652.3054256889,,47,118.48073088590812,0.0,0.0,2.0,460.0,No,1,1,,sí,sí
115,2300115,0,1,1.0,fontaneria,2004-07-05,,1578,697,73815,24143.092682475188,,28,9.094003776055764,0.0,0.0,,121.0,Sí,0,1,,sí,sí
116,2300116,0,1,0.0,construccion,2014-10-31,,0,1002,900000,373608.1820649731,,64,125.10545622820192,0.0,0.0,,72.6,Sí,1,1,0.0,sí,sí
117,2300117,0,1,0.0,comercio alimentacion,2003-04-18,,0,605,40238,14713.115528619,,29,5.963547031027312,0.0,0.0,,72.6,Sí,1,0,,sí,sí
118,2300118,0,1,0.0,restauracion,2006-01-16,,0,1187,387822,115335.9357844424,,63,39.36716840086461,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
119,2300119,0,1,1.0,comercio alimentacion,2010-08-09,,1492,998,77603,24855.30491900454,,22,9.330435907688596,0.0,0.0,,121.0,Sí,0,1,1.0,sí,sí
120,2300120,0,1,0.0,restauracion,2009-03-01,,0,1070,57486,20090.00800082735,,27,7.748506743260996,0.0,1.0,,72.6,Sí,0,1,,sí,sí
121,2300121,0,1,3.0,fontaneria,2018-03-16,,4989,873,61367,23065.668514590623,,33,8.736332734166584,0.0,0.0,,162.5,No,1,1,1.0,sí,sí
122,2300122,0,1,3.0,restauracion,2022-03-18,,3945,841,74752,23046.2336640345,,31,8.729880973147509,0.0,0.0,,162.5,Sí,0,0,1.0,sí,sí
123,2300123,0,1,3.0,peluqueria,2009-02-07,,3774,530,79830,27124.236596427505,,41,10.083650083896108,0.0,0.0,,162.5,Sí,0,1,,sí,sí
124,2300124,0,1,0.0,restauracion,2015-10-30,,0,925,32889,9704.726736653194,,29,4.300918986470188,0.0,0.0,,72.6,Sí,0,1,,sí,sí
125,2300125,0,1,3.0,restauracion,2011-07-02,,3822,508,616817,188299.512791025,,65,63.58878824734072,0.0,0.0,,162.5,Sí,0,1,,sí,sí
126,2300126,0,1,0.0,restauracion,2022-05-03,,0,565,49451,19094.831721942905,,27,7.418139421697319,0.0,1.0,,72.6,Sí,0,1,,sí,sí
127,2310127,1,0,11.0,construccion,2001-10-23,,18799,1121,165186,60344.21645036016,,30,21.11164180717688,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
128,2300128,0,1,1.0,construccion,2016-11-19,,1360,969,63846,21919.226842118624,,33,8.355750044747865,0.0,0.0,,121.0,Sí,0,1,,no,sí
129,2300129,0,1,0.0,restauracion,2019-08-25,,0,764,43117,12115.829589158704,,36,5.101329535131665,0.0,0.0,,72.6,Sí,0,1,,sí,sí
130,2310130,1,0,12.0,construccion,2018-08-05,,17664,749,197638,57168.386176108535,,22,20.05736573196592,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,sí
131,2300131,0,1,0.0,restauracion,2022-08-13,,0,549,48810,18884.56015320225,,30,7.348335853787005,0.0,0.0,,72.6,Sí,0,1,,sí,sí
132,2300132,0,1,0.0,restauracion,2004-10-07,,0,872,41717,12228.81079731189,,41,5.138835753795193,0.0,0.0,,72.6,Sí,0,0,,sí,sí
133,2310133,1,0,5.0,construccion,2005-05-06,,7920,564,165071,64038.60744989519,,28,22.33806378408883,0.0,1.0,1.0,460.0,Sí,0,1,0.0,sí,sí
134,2310134,1,0,10.0,construccion,,,13000,1103,163623,62403.122516740186,,32,21.795134065717896,0.0,0.0,4.0,460.0,Sí,0,1,1.0,sí,sí
135,2300135,0,1,0.0,restauracion,2015-11-24,,0,550,42500,14956.71689532628,,41,6.044415046831053,0.0,0.0,,72.6,Sí,0,1,,sí,sí
136,2300136,0,1,0.0,restauracion,2019-05-02,,0,676,56774,18749.242107406764,,24,7.303414505381478,0.0,0.0,,72.6,Sí,0,0,1.0,sí,sí
137,2300137,0,1,1.0,restauracion,2016-02-03,,1497,973,128284,52087.463627882375,,22,18.37065875457335,0.0,0.0,,121.0,Sí,0,1,,sí,sí
138,2300138,0,1,0.0,restauracion,2015-04-01,,0,1169,43776,13339.493578368632,,41,5.507547612457991,0.0,1.0,,72.6,Sí,0,1,,sí,sí
139,2300139,0,1,0.0,restauracion,2015-01-11,,0,1083,1051608,420331.9307082328,,58,140.61627578872375,4.691535649061653,0.0,,72.6,No,0,1,,sí,sí
140,2300140,0,1,0.0,restauracion,2005-09-14,,0,1038,39633,15333.476575562454,,22,6.1694874476446415,0.0,0.0,,72.6,Sí,0,0,1.0,sí,sí
141,2300141,0,1,0.0,zapateria,2014-12-29,,0,979,96567,36066.12227747629,,41,13.05207576370443,0.0,0.0,,72.6,Sí,0,1,,sí,sí
142,2300142,0,1,0.0,construccion,2012-06-23,,0,898,41757,17201.038107018347,,28,6.789459320059098,0.0,0.0,,72.6,Sí,0,0,,sí,sí
143,2300143,0,1,3.0,restauracion,2017-12-12,,5247,626,78517,32934.569965219955,,23,12.012498583572718,0.0,0.0,,162.5,Sí,1,1,,sí,sí
144,2300144,0,1,0.0,comercio alimentacion,2002-03-24,,0,636,42754,16695.133225317983,,34,6.621514761612941,0.0,1.0,,72.6,Sí,0,1,,sí,sí
145,2300145,0,1,2.0,fontaneria,2018-01-18,,3376,539,72762,22703.720375008903,,40,8.616177300445226,0.0,0.0,,142.45,Sí,0,1,,sí,sí
146,2300146,0,1,0.0,fontaneria,2016-10-24,,0,779,49341,18547.031219783872,,35,7.236286830865488,0.0,0.0,,72.6,Sí,0,1,,sí,sí
147,2310147,1,0,12.0,construccion,2020-11-14,,21228,540,257027,86374.87763327229,,53,29.753005147519108,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,no
148,2300148,0,1,0.0,educacion,,,0,629,40949,12167.15435225728,,26,5.1183677472299,0.0,0.0,,72.6,Sí,0,1,,sí,sí
149,2300149,0,1,3.0,fontaneria,2014-09-16,,3525,972,73184,29187.96748923069,,39,10.768744033530702,0.0,0.0,,162.5,Sí,0,1,,sí,sí
150,2300150,0,1,0.0,informatica,2005-07-10,,0,925,404990,132376.28171500965,,47,45.02402896220208,0.0,1.0,,72.6,Sí,0,0,1.0,sí,sí
151,2310151,1,0,19.0,construccion,2006-05-04,,33345,880,168757,70038.08308739385,,24,24.3297015865581,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
152,2300152,0,1,0.0,limpieza,2020-07-16,,0,1114,55187,21719.191627125656,,42,8.289344625328384,0.0,1.0,,72.6,Sí,1,1,,sí,sí
153,2310153,1,0,11.0,construccion,2021-11-27,,19492,969,153064,60002.22711974631,,35,20.998112072238964,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
154,2300154,0,1,3.0,restauracion,2012-09-28,,4776,793,64195,25406.37431491639,,37,9.513373668752582,0.0,0.0,,162.5,Sí,0,1,,no,sí
155,2310155,1,0,13.0,construccion,2010-06-12,,17602,943,109265,36837.41263306027,,26,13.308119978512089,0.0,0.0,3.0,460.0,Sí,0,1,1.0,sí,sí
156,2300156,0,1,0.0,fontaneria,2016-08-03,,0,1176,54367,15848.480547693418,,31,6.340452618818418,0.0,0.0,,72.6,Sí,0,1,1.0,sí,sí
157,2300157,0,1,0.0,fontaneria,2017-11-03,,0,1172,349718,146639.1467752386,,48,49.75885296047296,0.0,0.0,,72.6,Sí,0,0,,sí,sí
158,2300158,0,1,1.0,restauracion,2009-12-03,,1214,919,62854,26083.221565955828,,39,9.738065734046074,0.0,1.0,,121.0,Sí,0,1,,sí,sí
159,2300159,0,1,1.0,restauracion,2012-07-01,,1469,887,79489,27461.712222133174,,40,10.19568141032843,0.0,0.0,,121.0,Sí,0,1,,sí,sí
160,2310160,1,0,24.0,construccion,2016-01-28,,26664,1051,153630,60835.69323305918,,35,21.274796689137105,0.0,0.0,1.0,460.0,No,0,1,,sí,sí
161,2300161,0,1,0.0,restauracion,2005-05-25,,0,921,40258,13962.709430822244,,35,5.71443573499435,0.0,1.0,,72.6,Sí,1,1,,sí,sí
162,2300162,0,1,1.0,restauracion,2021-07-16,,1381,1006,67630,27705.33618448597,,24,10.276556927178014,0.0,0.0,,121.0,Sí,0,1,,sí,sí
